file_path,label
D:\ISL_CSLRT_Corpus\Frames_Sentence_Level\are you free today\1\are you free today 01.jpg,are you free today
D:\ISL_CSLRT_Corpus\Frames_Sentence_Level\are you free today\1\are you free today 02.jpg,are you free today
D:\ISL_CSLRT_Corpus\Frames_Sentence_Level\are you free today\1\are you free today 03.jpg,are you free today
D:\ISL_CSLRT_Corpus\Frames_Sentence_Level\are you free today\1\are you free today 04.jpg,are you free today
D:\ISL_CSLRT_Corpus\Frames_Sentence_Level\are you free today\1\are you free today 05.jpg,are you free today
D:\ISL_CSLRT_Corpus\Frames_Sentence_Level\are you free today\1\are you free today 06.jpg,are you free today
D:\ISL_CSLRT_Corpus\Frames_Sentence_Level\are you free today\1\are you free today 07.jpg,are you free today
D:\ISL_CSLRT_Corpus\Frames_Sentence_Level\are you free today\1\are you free today 08.jpg,are you free today
D:\ISL_CSLRT_Corpus\Frames_Sentence_Level\are you free today\1\are you free today 09.jpg,are you free today
D:\ISL_CSLRT_Corpus\Frames_Sentence_Level\are you free today\1\are you free today 10.jpg,are you free today
D:\ISL_CSLRT_Corpus\Frames_Sentence_Level\are you free today\1\are you free today 11.jpg,are you free today
D:\ISL_CSLRT_Corpus\Frames_Sentence_Level\are you free today\1\are you free today 12.jpg,are you free today
D:\ISL_CSLRT_Corpus\Frames_Sentence_Level\are you free today\1\are you free today 13.jpg,are you free today
D:\ISL_CSLRT_Corpus\Frames_Sentence_Level\are you free today\1\are you free today 14.jpg,are you free today
D:\ISL_CSLRT_Corpus\Frames_Sentence_Level\are you free today\1\are you free today 15.jpg,are you free today
D:\ISL_CSLRT_Corpus\Frames_Sentence_Level\are you free today\1\are you free today 16.jpg,are you free today
D:\ISL_CSLRT_Corpus\Frames_Sentence_Level\are you free today\1\are you free today 17.jpg,are you free today
D:\ISL_CSLRT_Corpus\Frames_Sentence_Level\are you free today\1\are you free today 18.jpg,are you free today
D:\ISL_CSLRT_Corpus\Frames_Sentence_Level\are you free today\1\are you free today 19.jpg,are you free today
D:\ISL_CSLRT_Corpus\Frames_Sentence_Level\are you free today\1\are you free today 20.jpg,are you free today
D:\ISL_CSLRT_Corpus\Frames_Sentence_Level\are you free today\1\are you free today 21.jpg,are you free today
D:\ISL_CSLRT_Corpus\Frames_Sentence_Level\are you free today\1\are you free today 22.jpg,are you free today
D:\ISL_CSLRT_Corpus\Frames_Sentence_Level\are you free today\1\Thumbs.db,are you free today
D:\ISL_CSLRT_Corpus\Frames_Sentence_Level\are you free today\2\are you free today (2) 01.jpg,are you free today
D:\ISL_CSLRT_Corpus\Frames_Sentence_Level\are you free today\2\are you free today (2) 02.jpg,are you free today
D:\ISL_CSLRT_Corpus\Frames_Sentence_Level\are you free today\2\are you free today (2) 03.jpg,are you free today
D:\ISL_CSLRT_Corpus\Frames_Sentence_Level\are you free today\2\are you free today (2) 04.jpg,are you free today
D:\ISL_CSLRT_Corpus\Frames_Sentence_Level\are you free today\2\are you free today (2) 05.jpg,are you free today
D:\ISL_CSLRT_Corpus\Frames_Sentence_Level\are you free today\2\are you free today (2) 06.jpg,are you free today
D:\ISL_CSLRT_Corpus\Frames_Sentence_Level\are you free today\2\are you free today (2) 07.jpg,are you free today
D:\ISL_CSLRT_Corpus\Frames_Sentence_Level\are you free today\2\are you free today (2) 08.jpg,are you free today
D:\ISL_CSLRT_Corpus\Frames_Sentence_Level\are you free today\2\are you free today (2) 09.jpg,are you free today
D:\ISL_CSLRT_Corpus\Frames_Sentence_Level\are you free today\2\are you free today (2) 10.jpg,are you free today
D:\ISL_CSLRT_Corpus\Frames_Sentence_Level\are you free today\2\are you free today (2) 11.jpg,are you free today
D:\ISL_CSLRT_Corpus\Frames_Sentence_Level\are you free today\2\are you free today (2) 12.jpg,are you free today
